,pow,iteration,dtype,optimization,seconds,bandwidth
400,14,1,0,1,0.567338,3.785192685841597
401,10,1,2,3,0.00185,9.068765405405406
402,8,1,0,0,0.000191,2.74496335078534
403,4,2,0,2,1e-06,2.048
404,5,3,1,3,2e-06,4.096
405,14,3,1,0,0.887805,2.418868611913652
406,10,3,2,0,0.003292,5.096359659781288
407,2,3,1,1,1e-06,0.128
408,11,2,2,1,0.010408,6.447815526518063
409,4,3,2,1,1e-06,4.096
410,7,3,1,2,1.6e-05,8.192
411,15,1,2,1,4.655916,3.68990101711457
412,5,2,0,2,3e-06,2.7306666666666666
413,15,2,2,0,6.03495,2.8467293323059844
414,6,1,1,2,8e-06,4.096
415,8,2,0,3,6.9e-05,7.5983768115942025
416,13,1,1,3,0.112295,4.780897742553097
417,7,2,1,2,2e-05,6.5536
418,10,3,1,2,0.001218,6.8871986863711
419,12,1,0,0,0.047655,2.816445871367118
420,4,2,1,3,1e-06,2.048
421,13,2,1,0,0.222798,2.409675634431189
422,13,2,2,1,0.21222,5.059569427952125
423,1,1,1,0,0.0,inf
424,6,2,0,2,5e-06,6.5536
425,3,3,1,3,1e-06,0.512
426,14,1,1,1,0.565264,3.7990808684083897
427,2,3,1,2,1e-06,0.128
428,12,2,2,2,0.046757,5.741075261458177
429,2,1,1,3,1e-06,0.128
430,11,2,1,2,0.006392,5.249441802252816
431,2,1,1,1,1e-06,0.128
432,1,2,0,2,1e-06,0.032
433,10,1,1,2,0.001511,5.551692918596956
434,7,3,0,0,4.8e-05,2.7306666666666666
435,4,3,2,3,1e-06,4.096
436,8,3,2,3,4.4e-05,23.831272727272726
437,14,2,1,1,0.564009,3.807534362040322
438,5,2,0,3,1e-06,8.192
439,15,1,1,2,3.334623,2.5759837294950585
440,8,1,2,0,0.000214,4.89988785046729
441,6,3,2,1,6e-06,10.922666666666666
442,1,3,1,2,1e-06,0.032
443,9,1,1,1,0.000283,7.41043109540636
444,1,1,2,0,1e-06,0.064
445,10,1,0,2,0.001129,7.430122232063773
446,5,3,0,1,2e-06,4.096
447,11,1,2,3,0.009612,6.981779442363712
448,1,3,0,3,0.0,inf
449,7,2,1,0,4.9e-05,2.674938775510204
450,9,1,1,0,0.000607,3.4549456342668865
451,1,1,2,1,1e-06,0.064
452,8,2,2,1,6.9e-05,15.196753623188405
453,8,2,0,1,7.2e-05,7.281777777777778
454,15,3,1,0,4.301039,1.9971766338319648
455,7,3,0,3,1.6e-05,8.192
456,12,3,2,2,0.046815,5.733962533376054
457,4,1,1,1,1e-06,2.048
458,13,1,2,2,0.204801,5.242854400124999
459,11,3,2,3,0.009174,7.315114889906257
460,2,3,2,0,1e-06,0.256
461,15,3,1,1,3.260903,2.6342195986817147
462,7,3,0,2,2e-05,6.5536
463,12,3,1,2,0.030865,4.348541325125547
464,13,1,0,1,0.137131,3.9150222196294053
465,10,2,2,2,0.002028,8.272788954635109
466,10,1,0,0,0.00233,3.6002609442060085
467,6,2,2,1,6e-06,10.922666666666666
468,7,3,1,0,5.1e-05,2.5700392156862746
469,8,1,2,3,6.4e-05,16.384
470,6,1,0,3,3e-06,10.922666666666666
471,10,3,1,1,0.001343,6.246171258376768
472,8,3,0,0,0.00019,2.7594105263157895
473,8,2,2,0,0.000133,7.88403007518797
474,6,1,1,3,5e-06,6.5536
475,2,2,0,1,1e-06,0.128
476,12,2,0,2,0.029077,4.615941396980431
477,13,1,0,2,0.134238,3.9993959385568916
478,1,2,2,0,0.0,inf
479,14,1,0,0,0.828013,2.5935385652157636
480,14,1,1,3,0.514604,4.173079976059261
481,9,1,2,1,0.00032,13.1072
482,10,3,2,1,0.002566,6.538275915822291
483,14,3,2,2,1.055321,4.069820742693455
484,13,1,2,3,0.200335,5.359731569620885
485,6,3,1,0,1.2e-05,2.7306666666666666
486,5,1,0,0,4e-06,2.048
487,4,3,1,2,1e-06,2.048
488,2,1,0,0,1e-06,0.128
489,8,3,1,0,0.000191,2.74496335078534
490,6,1,0,1,5e-06,6.5536
491,8,3,2,2,8.7e-05,12.052597701149425
492,9,3,1,2,0.0003,6.990506666666667
493,9,3,1,0,0.000647,3.2413477588871715
494,2,1,1,2,1e-06,0.128
495,5,2,1,0,3e-06,2.7306666666666666
496,5,3,2,2,3e-06,5.461333333333333
497,4,3,1,1,1e-06,2.048
498,4,3,0,1,2e-06,1.024
499,4,2,1,0,1e-06,2.048
500,9,3,0,3,0.000302,6.944211920529801
501,13,3,1,3,0.111886,4.798374345315768
502,5,1,1,1,3e-06,2.7306666666666666
503,11,2,0,0,0.0106,3.1655124528301886
504,8,3,1,3,4.6e-05,11.397565217391305
505,9,2,0,0,0.000527,3.979415559772296
506,5,3,2,0,3e-06,5.461333333333333
507,8,3,0,1,7.1e-05,7.384338028169014
508,7,1,2,2,2.1e-05,12.48304761904762
509,9,1,0,1,0.000274,7.6538394160583945
510,9,2,1,1,0.000299,7.013886287625418
511,5,2,1,2,3e-06,2.7306666666666666
512,12,2,2,3,0.044616,6.01657378518917
513,13,1,2,1,0.210958,5.089836953327203
514,3,3,0,1,1e-06,0.512
515,6,3,2,0,1.3e-05,5.041230769230769
516,2,1,0,2,1e-06,0.128
517,3,2,1,0,1e-06,0.512
518,1,3,0,2,1e-06,0.032
519,8,2,1,0,0.000154,3.4044675324675326
520,1,1,1,3,1e-06,0.032
521,14,2,0,0,0.835682,2.569737828504144
522,5,2,0,0,4e-06,2.048
523,13,2,0,0,0.205979,2.6064351802853687
524,8,2,2,3,6.3e-05,16.64406349206349
525,10,3,1,0,0.002551,3.2883606428851433
526,11,2,2,3,0.009735,6.893565896250642
527,8,3,2,0,0.000198,5.295838383838384
528,4,1,0,0,2e-06,1.024
529,10,2,1,1,0.001414,5.932537482319661
530,1,2,2,2,1e-06,0.064
531,4,2,1,2,1e-06,2.048
532,14,1,2,2,1.055013,4.071008884250715
533,13,2,1,1,0.139722,3.84242218118836
534,9,2,1,2,0.000314,6.678828025477707
535,14,3,2,3,0.98001,4.382574969643167
536,15,2,0,2,3.278688,2.619930469748875
537,14,1,2,3,0.976388,4.398832529691066
538,15,3,2,3,4.167466,4.122377767209138
539,2,3,1,3,1e-06,0.128
