,pow,iteration,dtype,optimization,tile_dim,copy,shared_copy,naive,coalesced,conflict-free
39,12,1,1,3,32,24.58125,25.07875,14.15375,28.88125,29.29625
237,12,1,1,0,32,25.40625,28.70375,15.18375,28.89875,29.28125
30,12,1,2,0,16,28.73875,28.52875,28.63,29.22625,29.14125
162,12,1,2,3,16,28.74,28.505,28.55,29.26125,29.17125
165,12,1,1,0,16,29.86625,28.8375,30.23375,29.31875,29.23625
315,12,1,0,2,64,24.66,28.3175,14.62375,28.2875,27.9975
181,12,1,2,0,64,0.0,0.0,0.0,0.0,0.0
4,12,1,2,0,32,28.65125,28.51,29.67625,28.4025,28.13125
289,12,1,0,1,16,26.13,28.34,28.35625,29.28875,29.35625
32,12,1,2,3,32,28.715,28.54,29.675,28.415,28.12625
298,12,1,0,1,32,28.1175,28.6625,15.27875,28.82875,29.285
213,12,1,0,0,32,28.14,28.68375,13.785,28.87,29.22125
144,12,1,0,1,64,24.67375,26.5725,14.68375,28.32375,27.99375
106,12,1,0,3,32,28.13625,28.70375,13.5925,28.86,29.29125
311,12,1,2,2,16,28.7475,28.5025,28.54375,29.24625,29.16625
107,12,1,0,2,16,26.0675,27.28625,28.765,29.31,29.24625
111,12,1,0,3,64,28.20375,28.28625,16.68125,28.30125,27.985
113,12,1,2,2,32,28.68625,28.5075,29.67,28.385,28.12375
227,12,1,0,3,16,26.0975,25.12375,23.97625,29.2975,29.36875
92,12,1,1,1,64,28.2225,28.33375,13.745,28.2925,27.98875
246,12,1,1,2,32,28.13625,28.70625,16.69,28.8725,29.285
247,12,1,0,2,32,24.5825,27.09625,14.69125,28.89,29.2575
116,12,1,2,1,32,28.74375,28.50125,29.67875,28.4275,28.12375
105,12,1,1,1,16,29.65875,28.71625,26.65375,29.235,29.37
241,12,1,2,1,16,28.675,28.51,28.57,29.26,29.1775
307,12,1,0,0,16,25.85,25.10125,30.24625,29.40375,29.27875
77,12,1,1,2,64,24.6925,24.77375,16.68125,28.2975,27.98375
70,12,1,1,3,64,28.2375,28.33125,15.8975,28.305,27.97625
138,12,1,1,1,32,28.14125,28.685,13.635,28.8575,29.26125
342,12,1,1,3,16,29.72625,28.82875,30.23875,29.23375,29.21375
260,12,1,0,0,64,28.23375,28.39625,13.61,28.31125,27.995
261,12,1,1,2,16,25.93,25.12625,30.235,29.4825,29.22625
121,12,1,2,2,64,0.0,0.0,0.0,0.0,0.0
330,13,1,1,3,32,28.33625,28.47625,16.725,28.97375,29.28
346,13,1,1,0,16,29.96875,28.69375,30.11125,28.90125,28.90125
345,13,1,1,1,64,28.82875,28.71375,16.71875,28.4025,28.07375
296,13,1,2,0,32,28.67125,28.78375,30.09,28.685,28.4525
326,13,1,1,0,64,28.85375,28.68,16.71875,28.4075,26.63125
352,13,1,1,1,32,28.32625,28.485,16.72375,28.96875,29.2725
179,13,1,0,0,32,28.3425,28.4875,16.605,28.9725,29.29875
200,13,1,1,2,16,30.0225,28.6575,30.1075,28.905,28.90125
96,13,1,1,0,32,28.34125,28.4825,16.72375,28.97375,29.26375
190,13,1,2,0,16,28.42125,28.47375,28.96625,29.43875,29.35125
182,13,1,0,3,32,28.32875,28.49625,16.72375,28.9775,29.2775
173,13,1,2,1,32,28.6075,28.79125,30.08625,28.665,28.43125
171,13,1,2,2,64,0.0,0.0,0.0,0.0,0.0
167,13,1,1,3,16,30.105,28.675,30.1075,28.90875,28.90375
55,13,1,2,2,16,28.43125,28.49,28.9325,29.44375,29.3475
160,13,1,1,2,32,28.34125,28.49875,16.725,28.95375,29.295
86,13,1,0,0,64,28.8425,28.70375,16.6,28.40125,28.0675
128,13,1,0,0,16,30.1175,28.69625,30.1,28.895,28.9025
118,13,1,0,2,32,28.33125,28.4875,16.725,29.005,29.24375
100,13,1,0,1,32,28.3325,28.495,16.725,28.9725,29.26875
99,13,1,0,2,64,28.88625,28.70125,16.71875,28.40625,28.06875
97,13,1,2,3,64,0.0,0.0,0.0,0.0,0.0
83,13,1,0,1,16,30.0425,28.67875,30.11,28.90875,28.8925
224,13,1,0,3,16,30.135,28.66125,30.1075,28.89375,28.8975
91,13,1,2,2,32,28.60625,28.7775,30.08875,28.67375,28.45375
290,13,1,0,1,64,28.84375,28.68875,16.7175,28.41,28.08125
243,13,1,2,0,64,0.0,0.0,0.0,0.0,0.0
33,13,1,1,3,64,28.85625,28.71375,16.72,28.4125,28.05875
285,13,1,2,1,64,0.0,0.0,0.0,0.0,0.0
13,13,1,0,2,16,30.07,28.68375,30.10875,28.9125,28.89875
26,13,1,2,3,16,28.42625,28.48625,28.92875,29.43125,29.35
15,13,1,1,2,64,28.89375,28.7,16.71875,28.41375,28.08625
254,13,1,2,1,16,28.4275,28.49125,28.915,29.4325,29.35125
53,13,1,1,1,16,30.125,28.67875,30.11,28.90125,28.90125
258,13,1,2,3,32,28.72125,28.795,30.08875,28.68125,28.46
18,13,1,0,3,64,28.88125,28.72625,16.71875,28.41125,28.0725
47,14,1,2,1,16,0.0,0.0,0.0,0.0,0.0
357,14,1,2,0,16,0.0,0.0,0.0,0.0,0.0
90,14,1,1,2,64,29.24375,28.56875,16.7325,28.72875,28.09125
24,14,1,1,0,32,28.9925,29.41,16.7325,29.07375,29.4575
76,14,1,1,3,16,28.87375,28.9175,30.11625,29.0725,29.08
68,14,1,2,1,32,0.0,0.0,0.0,0.0,0.0
66,14,1,0,2,64,29.23125,28.56125,16.7325,28.73375,28.09625
62,14,1,0,1,16,26.6875,28.92875,30.1125,29.07,29.07375
27,14,1,0,2,16,27.315,28.9225,30.1125,29.07625,29.07625
56,14,1,0,3,32,28.98875,29.4175,16.7325,29.07375,29.45625
40,14,1,2,2,32,0.0,0.0,0.0,0.0,0.0
353,14,1,0,3,64,29.245,28.57125,16.7325,28.73,28.10125
291,14,1,2,2,64,0.0,0.0,0.0,0.0,0.0
150,14,1,2,3,64,0.0,0.0,0.0,0.0,0.0
147,14,1,2,3,16,0.0,0.0,0.0,0.0,0.0
279,14,1,2,0,32,0.0,0.0,0.0,0.0,0.0
278,14,1,1,1,16,28.875,28.92625,30.11,29.0775,29.08125
275,14,1,0,0,64,29.2425,28.5675,16.73125,28.73375,28.105
265,14,1,0,1,32,28.96,29.41375,16.7325,29.07375,29.46
263,14,1,0,0,32,28.9925,29.42,16.6125,26.95125,29.46125
257,14,1,2,0,64,0.0,0.0,0.0,0.0,0.0
306,14,1,1,3,32,28.955,29.4075,16.73375,29.075,29.45625
252,14,1,1,2,32,29.00375,29.415,16.7325,29.075,29.455
250,14,1,0,1,64,26.96,28.57375,16.7325,28.725,28.10125
236,14,1,0,3,16,28.8675,28.92125,30.11125,29.07,29.08125
233,14,1,1,1,64,29.24625,28.5725,16.7325,28.73,28.115
312,14,1,2,1,64,0.0,0.0,0.0,0.0,0.0
314,14,1,2,2,16,0.0,0.0,0.0,0.0,0.0
184,14,1,1,0,16,26.665,28.92,30.1125,29.07125,29.08
358,14,1,1,1,32,28.96,29.41625,16.7325,29.07625,29.45125
321,14,1,2,3,32,0.0,0.0,0.0,0.0,0.0
168,14,1,1,2,16,28.87125,28.9225,30.115,29.06625,29.08
158,14,1,1,0,64,29.23625,28.57125,16.7325,28.73,28.10875
293,14,1,0,2,32,28.97375,29.41625,16.7325,29.07625,29.43375
132,14,1,1,3,64,29.245,28.5725,16.73375,28.725,28.0925
359,14,1,0,0,16,28.87625,28.91875,30.08,29.08,29.0825
